X,Y,NAME,POSIT_VEG,POSIT_RES,POSIT_ARB,LONGUEUR,NACELLE,ZAR,ESSENCE_PR,COM,photo,layer,NUM_UNIQUE,icon_url
0.36437174,44.12247322,Isolé 99,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,ARBRE DE JUDÉE/MAGNOLIA,,,ISOLE ZONE 1,"99",./0.png
0.36446637,44.12253681,Isolé 100,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CYPRÈS,,,ISOLE ZONE 1,"100",./0.png
0.36452933,44.12257623,Isolé 101,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CYPRÈS,,,ISOLE ZONE 1,"101",./0.png
0.36468176,44.12267642,Isolé 102,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,THUYA,,,ISOLE ZONE 1,"102",./0.png
0.36470281,44.12275846,Isolé 103,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CHÊNE,,,ISOLE ZONE 1,"103",./0.png
0.36581482,44.12338049,Isolé 104,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,NOYER,,,ISOLE ZONE 1,"104",./0.png
0.36604502,44.12325502,Isolé 105,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CHARME,,,ISOLE ZONE 1,"105",./0.png
0.36651083,44.12296372,Isolé 106,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CHÊNE,,,ISOLE ZONE 1,"106",./0.png
0.36937352,44.11831766,Isolé 107,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,CHÊNE,,,ISOLE ZONE 1,"107",./0.png
0.3694768,44.11822988,Isolé 108,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,AUBÉPINE,,,ISOLE ZONE 1,"108",./0.png
0.36963249,44.11814034,Isolé 109,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,ÉRABLE,,,ISOLE ZONE 1,"109",./0.png
0.37223272,44.11768291,Isolé 110,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,SAULE,,,ISOLE ZONE 1,"110",./0.png
0.37276339,44.11692135,Isolé 111,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CERISIER,carto a vérifier,,ISOLE ZONE 1,"111",./0.png
0.3728121,44.11685673,Isolé 112,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,LAURIER,carto a vérifier,,ISOLE ZONE 1,"112",./0.png
0.37226359,44.12001608,Isolé 113,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,SAULE,,,ISOLE ZONE 1,"113",./0.png
0.37542973,44.12042411,Isolé 114,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,ACACIA,,,ISOLE ZONE 1,"114",./0.png
0.37552954,44.12033067,Isolé 115,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,FRÊNE,,,ISOLE ZONE 1,"115",./0.png
0.3756205,44.1201862,Isolé 116,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,PEUPLIER,,,ISOLE ZONE 1,"116",./0.png
0.37570727,44.12005322,Isolé 117,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,CHARME,,,ISOLE ZONE 1,"117",./0.png
0.37573901,44.11997435,Isolé 118,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,CHARME/PEUPLIER,,,ISOLE ZONE 1,"118",./0.png
0.3759387,44.11961153,Isolé 119,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,SAULE/FRÊNE,,,ISOLE ZONE 1,"119",./0.png
0.37597009,44.11952785,Isolé 120,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,FRÊNE,,,ISOLE ZONE 1,"120",./0.png
0.37603284,44.11942352,Isolé 121,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CHÊNE,,,ISOLE ZONE 1,"121",./0.png
0.37625237,44.11914428,Isolé 122,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CHÊNE,,,ISOLE ZONE 1,"122",./0.png
0.37661337,44.11866214,Isolé 123,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CHÊNE,,,ISOLE ZONE 1,"123",./0.png
0.37691416,44.1185638,Isolé 124,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,NOYER,,,ISOLE ZONE 1,"124",./0.png
0.37700495,44.11848881,Isolé 125,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CHÊNE,,,ISOLE ZONE 1,"125",./0.png
0.37728579,44.11824879,Isolé 126,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CHÊNE VERT,,,ISOLE ZONE 1,"126",./0.png
0.37750946,44.11805086,Isolé 127,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CHÊNE VERT,,,ISOLE ZONE 1,"127",./0.png
0.3775589,44.11800582,Isolé 128,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CHÊNE VERT,,,ISOLE ZONE 1,"128",./0.png
0.37812465,44.11744818,Isolé 129,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CHÊNE,,,ISOLE ZONE 1,"129",./0.png
0.37817306,44.11739615,Isolé 130,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,ORNEMENT,,,ISOLE ZONE 1,"130",./0.png
0.37983754,44.11524778,Isolé 131,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CHÊNE,,,ISOLE ZONE 1,"131",./0.png
0.38018385,44.11502056,Isolé 132,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,ÉRABLE,,,ISOLE ZONE 1,"132",./0.png
0.38025716,44.11499541,Isolé 133,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,ÉPICÉA,,,ISOLE ZONE 1,"133",./0.png
0.38066796,44.11482532,Isolé 134,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,ÉPICÉA,,,ISOLE ZONE 1,"134",./0.png
0.38092638,44.11472577,Isolé 135,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,ÉPICÉA,,,ISOLE ZONE 1,"135",./0.png
0.38152985,44.11453977,Isolé 136,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,ÉRABLE,,,ISOLE ZONE 1,"136",./0.png
0.3818024,44.11454776,Isolé 137,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,ÉPICÉA,,,ISOLE ZONE 1,"137",./0.png
0.382481,44.11477111,Isolé 138,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,ÉRABLE,,,ISOLE ZONE 1,"138",./0.png
0.38258149,44.11479767,Isolé 139,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,ÉRABLE,,,ISOLE ZONE 1,"139",./0.png
0.38346228,44.11503993,Isolé 140,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,TILLEUL,,,ISOLE ZONE 1,"140",./0.png
0.3835994,44.11508716,Isolé 141,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,BUIS,,,ISOLE ZONE 1,"141",./0.png
0.38361616,44.1151798,Isolé 142,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,MARRONNIER,,,ISOLE ZONE 1,"142",./0.png
0.38376582,44.11523603,Isolé 143,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,MARRONNIER,,,ISOLE ZONE 1,"143",./0.png
0.38399556,44.11521382,Isolé 144,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,SAULE,,,ISOLE ZONE 1,"144",./0.png
0.38409093,44.11524181,Isolé 145,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,MARRONNIER,,,ISOLE ZONE 1,"145",./0.png
0.38454921,44.1154144,Isolé 146,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,MARRONNIER,,,ISOLE ZONE 1,"146",./0.png
0.3848144,44.11551084,Isolé 147,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,MARRONNIER,,,ISOLE ZONE 1,"147",./0.png
0.38493538,44.11554632,Isolé 148,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,ACACIA,,,ISOLE ZONE 1,"148",./0.png
0.37571905,44.12069517,Isolé 149,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CORNOUILLER,,,ISOLE ZONE 1,"149",./0.png
0.37595497,44.12084885,Isolé 150,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CHÊNE/NOYER,,,ISOLE ZONE 1,"150",./0.png
0.37613989,44.1209144,Isolé 151,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CORNOUILLER/BAMBOU,,,ISOLE ZONE 1,"151",./0.png
0.37637557,44.12095442,Isolé 152,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CORNOUILLER/ÉRABLE,,,ISOLE ZONE 1,"152",./0.png
0.37653006,44.12096643,Isolé 153,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CORNOUILLER,,,ISOLE ZONE 1,"153",./0.png
0.37667623,44.12094861,Isolé 154,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,TILLEUL,,,ISOLE ZONE 1,"154",./0.png
0.38213101,44.12359627,Isolé 155,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,CHÊNE,,,ISOLE ZONE 1,"155",./0.png
0.38208827,44.12378462,Isolé 156,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,CHÊNE,,,ISOLE ZONE 1,"156",./0.png
0.38196146,44.1238135,Isolé 157,1 COTE,Réseau public,Arbre privé,10.000,Oui,Non,NOYER,,,ISOLE ZONE 1,"157",./0.png
0.38189255,44.12401443,Isolé 158,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,FRENE,,,ISOLE ZONE 1,"158",./0.png
0.38170514,44.12485132,Isolé 159,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,THUYA,,,ISOLE ZONE 1,"159",./0.png
0.38166826,44.1249508,Isolé 160,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,NOYER,,,ISOLE ZONE 1,"160",./0.png
0.38455637,44.12134069,Isolé 161,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,ACACIA,,,ISOLE ZONE 1,"161",./0.png
0.38678494,44.12138813,Isolé 162,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,TILLEUL,,,ISOLE ZONE 1,"162",./0.png
0.38681729,44.12146647,Isolé 163,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,TILLEUL,,,ISOLE ZONE 1,"163",./0.png
0.38689142,44.12168266,Isolé 164,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,ACACIA,,,ISOLE ZONE 1,"164",./0.png
0.38693285,44.12178474,Isolé 165,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,ACACIA,,,ISOLE ZONE 1,"165",./0.png
0.38694639,44.12184242,Isolé 166,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,ACACIA,,,ISOLE ZONE 1,"166",./0.png
0.38697902,44.121931,Isolé 167,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,ACACIA,,,ISOLE ZONE 1,"167",./0.png
0.38700548,44.12199332,Isolé 168,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,ACACIA,,,ISOLE ZONE 1,"168",./0.png
0.38702545,44.12206387,Isolé 169,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,CHÊNE,,,ISOLE ZONE 1,"169",./0.png
0.38762954,44.12322862,Isolé 170,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,THUYA,,,ISOLE ZONE 1,"170",./0.png
0.38772228,44.1233115,Isolé 171,1 COTE,Réseau privé,Arbre privé,10.000,Oui,Non,THUYA,,,ISOLE ZONE 1,"171",./0.png
